NZ_LR698976.1 Campylobacter lanienae isolate MGYG-HGUT-02308 chromosome 1 
NZ_LR698977.1 Campylobacter hyointestinalis isolate MGYG-HGUT-02307 chromosome 1 
NZ_OU701461.1 Campylobacter upsaliensis strain Campylobacter upsaliensis CCUG 14913 chromosome 1, complete sequence 
NZ_OU701459.1 Campylobacter upsaliensis strain Campylobacter upsaliensis 17-M197059 chromosome 1, complete sequence 
NZ_CP028185.1 Campylobacter jejuni strain CFSAN054107 chromosome, complete genome 
NZ_CP028187.1 Campylobacter coli strain CFSAN054106 chromosome, complete genome 
NZ_CP021642.1 Campylobacter concisus strain P2CDO4 chromosome, complete genome 
NZ_CP049270.1 Campylobacter concisus strain P26UCO-S2 chromosome, complete genome 
NZ_CP049263.1 Campylobacter concisus strain H16O-S1 chromosome, complete genome 
NZ_CP060707.1 Campylobacter concisus strain P1CDO2 chromosome, complete genome 
NZ_CP049266.1 Campylobacter concisus strain P1CDO3 chromosome, complete genome 
NZ_CP049274.1 Campylobacter concisus strain P10CDO-S2 chromosome, complete genome 
NZ_CP049272.1 Campylobacter concisus strain P27CDO-S2 chromosome, complete genome 
NZ_CP060705.1 Campylobacter concisus strain P13UCO-S1 chromosome, complete genome 
NZ_CP049264.1 Campylobacter concisus strain P11CDO-S1 chromosome, complete genome 
NZ_CP028909.1 Campylobacter jejuni strain 12567 chromosome, complete genome 
NZ_CP028910.1 Campylobacter jejuni strain NCTC 12660 chromosome, complete genome 
NZ_CP028911.1 Campylobacter jejuni strain NCTC 12661 chromosome, complete genome 
NZ_CP028912.1 Campylobacter jejuni strain NCTC 12664 chromosome, complete genome 
NZ_CP012206.1 Campylobacter jejuni strain CJ067CC45 chromosome, complete genome 
NZ_CP012210.1 Campylobacter jejuni strain CJ515CC45 chromosome, complete genome 
NZ_CP012211.1 Campylobacter jejuni strain CJ031CC45 chromosome, complete genome 
NZ_CP012212.1 Campylobacter jejuni strain CJ017CCUA chromosome, complete genome 
NZ_CP012213.1 Campylobacter jejuni strain CJ513CC45 chromosome, complete genome 
NZ_CP012214.1 Campylobacter jejuni strain CJ088CC52 chromosome, complete genome 
NZ_CP012216.1 Campylobacter jejuni strain CJ074CC443 chromosome, complete genome 
NZ_CP012217.1 Campylobacter jejuni strain CJ071CC464 chromosome, complete genome 
NZ_CP012220.1 Campylobacter jejuni strain CJ090CC1332 chromosome, complete genome 
NZ_CP012221.1 Campylobacter jejuni strain CJ018CCUA chromosome, complete genome 
NZ_CP012224.1 Campylobacter jejuni strain CJ066CC508 chromosome, complete genome 
NZ_CP032316.1 Campylobacter jejuni subsp. jejuni strain HPC5 chromosome, complete genome 
NZ_CP034393.1 Campylobacter jejuni subsp. jejuni strain CLB104 chromosome, complete genome 
NZ_CP028372.1 Campylobacter jejuni subsp. jejuni strain huA17 chromosome, complete genome 
