user_genome	closest_placement_reference
PID-0915-21EPA034CP5__59953	s__Campylobacter_D jejuni
PID-0444-20EPA011CF15__43967	s__Campylobacter_D jejuni
PID-1108-22EPA079CP15__67519	s__Campylobacter_D jejuni
PID-1150-22EPA087CP10__69325	s__Campylobacter_D coli
PID-1214-EPA097-11__71840	s__Campylobacter_D jejuni
PID-1214-EPA097-20__71826	s__Campylobacter_D jejuni
PID-0444-20EPA011CF9__43927	s__Campylobacter_D jejuni
PID-0836-21EPA049CF5__57722	s__Campylobacter_D jejuni
PID-1108-22EPA078CP1__67554	s__Campylobacter_D jejuni
PID-0818-21EPA041CP8__56480	s__Campylobacter_D jejuni
PID-0657-20EPA027CP11__51316	s__Campylobacter_D coli
PID-0666-21EPA039CP3__52188	s__Campylobacter_D jejuni
PID-1150-22EPA087CP7__69356	s__Campylobacter_D coli
PID-0915-21EPA034CP11__59992	s__Campylobacter_D jejuni
PID-0666-21EPA039CF10__52172	s__Campylobacter_D jejuni
PID-0818-21EPA041CP3__56464	s__Campylobacter_D jejuni
PID-0477-20EPA017CF7__45389	s__Campylobacter_D jejuni
PID-0477-20EPA017CF13__45360	s__Campylobacter_D jejuni
PID-1108-22EPA078CP15__67552	s__Campylobacter_D jejuni
PID-0836-21EPA050CF5__57731	s__Campylobacter_D jejuni
PID-0836-21EPA049CF7__57735	s__Campylobacter_D jejuni
PID-1108-22EPA079CP14__67544	s__Campylobacter_D jejuni
PID-0666-21EPA039CP10__52181	s__Campylobacter_D jejuni
PID-1250-22EPA083CP20__74239	s__Campylobacter_D jejuni
PID-0906-20EPA017CF3__59934	s__Campylobacter_D jejuni
PID-0657-20EPA027CP10__51302	s__Campylobacter_D coli
PID-1108-22EPA078CP17__67522	s__Campylobacter_D jejuni
PID-1291-22EPA077CP9__76365	s__Campylobacter_D jejuni
PID-0444-20EPA011CF10__43940	s__Campylobacter_D jejuni
PID-1250-22EPA083CP7__74244	s__Campylobacter_D jejuni
PID-0444-20EPA015CF7__43898	s__Campylobacter_D jejuni
PID-0915-21EPA034CF14__59991	s__Campylobacter_D jejuni
PID-1250-22EPA083CP16__74222	s__Campylobacter_D jejuni
PID-1108-22EPA079CP19__67513	s__Campylobacter_D jejuni
PID-1214-EPA097-14__71827	s__Campylobacter_D jejuni
PID-1150-22EPA085CP13__69313	s__Campylobacter_D jejuni
PID-0836-21EPA049CP9__57771	s__Campylobacter_D jejuni
PID-0818-21EPA041CF7__56481	s__Campylobacter_D jejuni
PID-1250-22EPA083CP19__74248	s__Campylobacter_D jejuni
PID-0657-20EPA027CF4__51349	s__Campylobacter_D coli
PID-1250-22EPA083CP4__74235	s__Campylobacter_D jejuni
PID-0444-20EPA015CP5__43929	s__Campylobacter_D jejuni
PID-0444-20EPA011CP10__43946	s__Campylobacter_D jejuni
PID-1150-22EPA085CP16__69332	s__Campylobacter_D jejuni
PID-1108-22EPA078CP19__67525	s__Campylobacter_D jejuni
PID-1150-22EPA085CP12__69286	s__Campylobacter_D jejuni
PID-0666-21EPA039CF7__52166	s__Campylobacter_D jejuni
PID-0915-21EPA034CF8__59981	s__Campylobacter_D jejuni
PID-1250-22EPA080CP9__74223	s__Campylobacter_D jejuni
PID-0666-21EPA039CP5__52141	s__Campylobacter_D jejuni
PID-1214-EPA097-17__71824	s__Campylobacter_D jejuni
PID-1150-22EPA088CP3__69330	s__Campylobacter_D jejuni
PID-1150-22EPA088CP12__69358	s__Campylobacter_D jejuni
PID-0444-20EPA011CF13__43922	s__Campylobacter_D jejuni
PID-1291-22EPA077CP5__76360	s__Campylobacter_D jejuni
PID-1108-22EPA079CP12__67549	s__Campylobacter_D jejuni
PID-1108-22EPA078CP16__67509	s__Campylobacter_D jejuni
PID-0444-20EPA011CF6__43933	s__Campylobacter_D jejuni
PID-1250-22EPA080CP4__74218	s__Campylobacter_D jejuni
PID-1250-22EPA080CP2__74219	s__Campylobacter_D jejuni
PID-1214-EPA097-4__71835	s__Campylobacter_D jejuni
PID-1150-22EPA087CP6__69316	s__Campylobacter_D coli
PID-1250-22EPA083CP15__74217	s__Campylobacter_D jejuni
PID-1250-22EPA083CP2__74229	s__Campylobacter_D jejuni
PID-0818-21EPA041CF5__56483	s__Campylobacter_D jejuni
PID-0657-20EPA027CP3__51293	s__Campylobacter_D coli
PID-0836-21EPA050CF6__57733	s__Campylobacter_D jejuni
PID-1108-22EPA079CP4__67523	s__Campylobacter_D jejuni
PID-1150-22EPA087CP9__69351	s__Campylobacter_D coli
PID-0477-20EPA017CF15__45354	s__Campylobacter_D jejuni
PID-1150-22EPA085CP9__69302	s__Campylobacter_D jejuni
PID-0915-21EPA034CF12__59958	s__Campylobacter_D jejuni
PID-1150-22EPA085CP6__69307	s__Campylobacter_D jejuni
PID-0444-20EPA011CP15__43941	s__Campylobacter_D jejuni
PID-0915-21EPA034CF1__59959	s__Campylobacter_D jejuni
PID-0657-20EPA027CP2__51313	s__Campylobacter_D coli
PID-0818-21EPA041CP4__56479	s__Campylobacter_D jejuni
PID-1150-22EPA087CP5__69344	s__Campylobacter_D coli
PID-1250-22EPA080CP15__74225	s__Campylobacter_D jejuni
PID-0657-20EPA027CP9__51345	s__Campylobacter_D coli
PID-0444-20EPA011CF2__43887	s__Campylobacter_D jejuni
PID-1150-22EPA085CP8__69362	s__Campylobacter_D jejuni
PID-1150-22EPA085CP10__69346	s__Campylobacter_D jejuni
PID-1214-EPA097-16__71817	s__Campylobacter_D jejuni
PID-0657-20EPA027CF2__51333	s__Campylobacter_D coli
PID-0666-21EPA039CF9__52190	s__Campylobacter_D jejuni
PID-1291-22EPA077CP8__76366	s__Campylobacter_D jejuni
PID-0836-21EPA050CP6__57725	s__Campylobacter_D jejuni
PID-1150-22EPA087CP15__69288	s__Campylobacter_D coli
PID-1108-22EPA078CP4__67555	s__Campylobacter_D jejuni
PID-1108-22EPA078CP13__67534	s__Campylobacter_D jejuni
PID-0666-21EPA039CF6__52185	s__Campylobacter_D jejuni
PID-0444-20EPA015CP10__43906	s__Campylobacter_D jejuni
PID-1108-22EPA078CP3__67535	s__Campylobacter_D jejuni
PID-1150-22EPA088CP4__69304	s__Campylobacter_D jejuni
PID-1214-EPA097-2__71838	s__Campylobacter_D jejuni
PID-0444-20EPA015CP11__43914	s__Campylobacter_D jejuni
PID-0666-21EPA039CF2__52150	s__Campylobacter_D jejuni
PID-0836-21EPA049CF9__57741	s__Campylobacter_D jejuni
PID-1250-22EPA080CP10__74247	s__Campylobacter_D jejuni
PID-0444-20EPA011CF3__43872	s__Campylobacter_D jejuni
PID-1150-22EPA088CP5__69353	s__Campylobacter_D jejuni
PID-1250-22EPA083CP17__74240	s__Campylobacter_D jejuni
PID-1150-22EPA085CP15__69347	s__Campylobacter_D jejuni
PID-1108-22EPA078CP12__67526	s__Campylobacter_D jejuni
